SteamId,Username,Points,Ultimate Billy,Ultimate BillyPoints,justMaki,justMakiPoints,Llama_Lordie,Llama_LordiePoints,Khord,KhordPoints,Certified Bruh Moment™,Certified Bruh Moment™Points,ttv_jandjetv,ttv_jandjetvPoints,St Nicholas,St NicholasPoints,Bluekittyracer,BluekittyracerPoints,BlueDreamer,BlueDreamerPoints,Joshuee1912,Joshuee1912Points
76561199173536675,[CTR]OwlPlague,"=IFERROR(E34 + G34 + I34 + K34 + M34 + O34 + Q34 + S34 + U34 + W34 + Y34, 0)",61.5826,0,53.53821,0,46.34488,0,32.09904,0,31.4828,0,56.01361,0,46.72018,0,48.63865,0,56.48278,0,42.24466,0
76561198155015234,VirusCookies,"=IFERROR(E35 + G35 + I35 + K35 + M35 + O35 + Q35 + S35 + U35 + W35 + Y35, 0)",61.84067,0,52.68824,0,46.99399,0,32.38328,0,31.613,0,55.67103,0,47.12033,0,48.3862,0,55.96616,0,42.42191,0
76561198104372256,Jakie Cash,"=IFERROR(E36 + G36 + I36 + K36 + M36 + O36 + Q36 + S36 + U36 + W36 + Y36, 0)",61.97046,0,,,,,,,,,,,,,,,,,,
76561198857826561,DragonBoi,"=IFERROR(E37 + G37 + I37 + K37 + M37 + O37 + Q37 + S37 + U37 + W37 + Y37, 0)",63.24808,0,54.07121,0,,,,,,,,,,,,,,,,
76561198027978961,[CLMTY] Rorroh,"=IFERROR(E38 + G38 + I38 + K38 + M38 + O38 + Q38 + S38 + U38 + W38 + Y38, 0)",64.70579,0,56.93385,0,46.86772,0,34.08552,0,31.95456,0,57.2369,0,47.05652,0,50.40113,0,60.25166,0,44.85798,0
76561198128443715,B-Unit,"=IFERROR(E39 + G39 + I39 + K39 + M39 + O39 + Q39 + S39 + U39 + W39 + Y39, 0)",65.69166,0,60.73107,0,,,,,,,,,,,,,,,,
76561197965640463,L3it3R,"=IFERROR(E40 + G40 + I40 + K40 + M40 + O40 + Q40 + S40 + U40 + W40 + Y40, 0)",67.38562,0,54.90834,0,47.58797,0,37.2417,0,31.62018,0,56.33768,0,48.21247,0,48.13979,0,60.82692,0,46.14036,0
76561198256080744,Joshuee1912,"=IFERROR(E41 + G41 + I41 + K41 + M41 + O41 + Q41 + S41 + U41 + W41 + Y41, 0)",74.10938,0,57.5433,0,48.62134,0,43.99977,0,33.16961,0,60.85825,0,55.81205,0,51.30957,0,64.32256,0,45.59092,0
76561199121770655,MatieBoyYT,"=IFERROR(E42 + G42 + I42 + K42 + M42 + O42 + Q42 + S42 + U42 + W42 + Y42, 0)",,,70.0388,0,49.61516,0,,,,,,,,,,,,,,
76561199247569114,MaxVerstappen9768,"=IFERROR(E43 + G43 + I43 + K43 + M43 + O43 + Q43 + S43 + U43 + W43 + Y43, 0)",,,55.9184,0,48.47587,0,,,,,,,,,,,,,,
76561198007001392,Otto von Mannerheim,"=IFERROR(E44 + G44 + I44 + K44 + M44 + O44 + Q44 + S44 + U44 + W44 + Y44, 0)",,,61.12589,0,,,,,,,,,,,,,,,,
76561198447684490,Rigenix,"=IFERROR(E45 + G45 + I45 + K45 + M45 + O45 + Q45 + S45 + U45 + W45 + Y45, 0)",,,,,46.37626,0,32.10256,0,32.14428,0,,,,,,,,,,
76561198166830935,Bo0mSlAnG,"=IFERROR(E46 + G46 + I46 + K46 + M46 + O46 + Q46 + S46 + U46 + W46 + Y46, 0)",,,,,47.06288,0,33.19621,0,31.75031,0,,,,,,,,,,
76561199162451829,Pickel,"=IFERROR(E47 + G47 + I47 + K47 + M47 + O47 + Q47 + S47 + U47 + W47 + Y47, 0)",,,,,47.96797,0,34.76362,0,32.07059,0,60.32158,0,,,49.64894,0,,,,
76561199121923263,tjalfe,"=IFERROR(E48 + G48 + I48 + K48 + M48 + O48 + Q48 + S48 + U48 + W48 + Y48, 0)",,,,,48.90226,0,,,,,,,,,,,,,,
76561198134276659,BAM,"=IFERROR(E49 + G49 + I49 + K49 + M49 + O49 + Q49 + S49 + U49 + W49 + Y49, 0)",,,,,49.57767,0,,,,,,,,,,,,,,
76561198285710168,dencar85,"=IFERROR(E50 + G50 + I50 + K50 + M50 + O50 + Q50 + S50 + U50 + W50 + Y50, 0)",,,,,49.87978,0,,,,,,,,,,,,,,
76561198079618904,AuroTheAzure,"=IFERROR(E51 + G51 + I51 + K51 + M51 + O51 + Q51 + S51 + U51 + W51 + Y51, 0)",,,,,47.86113,0,32.49155,0,32.3378,0,57.36433,0,47.56528,0,50.08687,0,58.19422,0,43.15839,0
76561199217544926,dirtyboy58,"=IFERROR(E52 + G52 + I52 + K52 + M52 + O52 + Q52 + S52 + U52 + W52 + Y52, 0)",,,,,48.72661,0,37.19906,0,31.79863,0,63.49447,0,,,,,63.56986,0,44.50137,0
76561198146205647,uria8833 the cat,"=IFERROR(E53 + G53 + I53 + K53 + M53 + O53 + Q53 + S53 + U53 + W53 + Y53, 0)",,,,,48.77946,0,46.21385,0,32.81033,0,64.29759,0,,,,,,,,
76561199282497311,groovy,"=IFERROR(E54 + G54 + I54 + K54 + M54 + O54 + Q54 + S54 + U54 + W54 + Y54, 0)",,,,,49.93679,0,53.40037,0,40.6297,0,,,,,,,,,50.29639,0
76561198020614715,ThirdEyeInk,"=IFERROR(E55 + G55 + I55 + K55 + M55 + O55 + Q55 + S55 + U55 + W55 + Y55, 0)",,,,,50.95146,0,45.41991,0,,,,,,,,,,,,
76561198038977981,Rik,"=IFERROR(E56 + G56 + I56 + K56 + M56 + O56 + Q56 + S56 + U56 + W56 + Y56, 0)",,,,,,,42.36995,0,36.76641,0,,,,,,,,,,
76561197998611568,6X111,"=IFERROR(E57 + G57 + I57 + K57 + M57 + O57 + Q57 + S57 + U57 + W57 + Y57, 0)",,,,,,,47.09531,0,35.06301,0,67.78004,0,,,,,66.04086,0,45.83849,0
76561198992498796,Squander,"=IFERROR(E58 + G58 + I58 + K58 + M58 + O58 + Q58 + S58 + U58 + W58 + Y58, 0)",,,,,,,57.54099,0,36.86594,0,,,,,,,,,,
76561198335633939,sander.zwanikken,"=IFERROR(E59 + G59 + I59 + K59 + M59 + O59 + Q59 + S59 + U59 + W59 + Y59, 0)",,,,,,,48.88625,0,,,,,,,,,,,,
76561198824105813,V,"=IFERROR(E60 + G60 + I60 + K60 + M60 + O60 + Q60 + S60 + U60 + W60 + Y60, 0)",,,,,,,,,32.34922,0,57.15217,0,,,51.49603,0,57.87984,0,43.57674,0
76561198803005218,PontanVIK,"=IFERROR(E61 + G61 + I61 + K61 + M61 + O61 + Q61 + S61 + U61 + W61 + Y61, 0)",,,,,,,,,33.33403,0,,,,,,,,,,
76561198317057262,IstAviX,"=IFERROR(E62 + G62 + I62 + K62 + M62 + O62 + Q62 + S62 + U62 + W62 + Y62, 0)",,,,,,,,,33.48537,0,61.94731,0,49.85096,0,51.60401,0,60.43774,0,46.08101,0
76561198000493194,MCRJAKE,"=IFERROR(E63 + G63 + I63 + K63 + M63 + O63 + Q63 + S63 + U63 + W63 + Y63, 0)",,,,,,,,,34.01783,0,66.08611,0,,,53.77336,0,65.18286,0,51.36113,0
76561199218029567,MissMomo<3,"=IFERROR(E64 + G64 + I64 + K64 + M64 + O64 + Q64 + S64 + U64 + W64 + Y64, 0)",,,,,,,,,34.42621,0,59.14378,0,49.57394,0,,,,,,
76561199009305655,noobwithnukes,"=IFERROR(E65 + G65 + I65 + K65 + M65 + O65 + Q65 + S65 + U65 + W65 + Y65, 0)",,,,,,,,,34.83603,0,58.01239,0,,,53.99528,0,59.80897,0,44.40164,0
76561198048821347,bdeink,"=IFERROR(E66 + G66 + I66 + K66 + M66 + O66 + Q66 + S66 + U66 + W66 + Y66, 0)",,,,,,,,,33.26252,0,,,,,,,,,,
76561199121464627,[OR] rsgold,"=IFERROR(E67 + G67 + I67 + K67 + M67 + O67 + Q67 + S67 + U67 + W67 + Y67, 0)",,,,,,,,,,,56.58925,0,47.60718,0,49.49136,0,62.55753,0,43.91891,0
76561199345647079,really_random_name,"=IFERROR(E68 + G68 + I68 + K68 + M68 + O68 + Q68 + S68 + U68 + W68 + Y68, 0)",,,,,,,,,,,,,,,49.60434,0,,,,
76561198033482669,Boogie Bear,"=IFERROR(E69 + G69 + I69 + K69 + M69 + O69 + Q69 + S69 + U69 + W69 + Y69, 0)",,,,,,,,,,,,,,,51.52562,0,61.73036,0,47.51323,0
76561198139937395,Massagraf,"=IFERROR(E70 + G70 + I70 + K70 + M70 + O70 + Q70 + S70 + U70 + W70 + Y70, 0)",,,,,,,,,,,,,,,53.4108,0,,,46.93141,0
76561199042136951,TrainNerd09,"=IFERROR(E71 + G71 + I71 + K71 + M71 + O71 + Q71 + S71 + U71 + W71 + Y71, 0)",,,,,,,,,,,,,,,54.53002,0,,,,
76561198109618759,SikeDollaz,"=IFERROR(E72 + G72 + I72 + K72 + M72 + O72 + Q72 + S72 + U72 + W72 + Y72, 0)",,,,,,,,,,,,,,,56.7107,0,64.24068,0,45.45467,0
76561198001387193,Warcans,"=IFERROR(E73 + G73 + I73 + K73 + M73 + O73 + Q73 + S73 + U73 + W73 + Y73, 0)",,,,,,,,,,,,,,,50.45883,0,54.99481,0,42.24617,0
76561197990087561,Zarphus,"=IFERROR(E74 + G74 + I74 + K74 + M74 + O74 + Q74 + S74 + U74 + W74 + Y74, 0)",,,,,,,,,,,,,,,55.83432,0,64.0575,0,45.84174,0
76561198835392996,Kalle21337,"=IFERROR(E75 + G75 + I75 + K75 + M75 + O75 + Q75 + S75 + U75 + W75 + Y75, 0)",,,,,,,,,,,,,,,,,61.98202,0,45.9764,0
76561199230056823,Flames1099,"=IFERROR(E76 + G76 + I76 + K76 + M76 + O76 + Q76 + S76 + U76 + W76 + Y76, 0)",,,,,,,,,,,,,,,,,63.2053,0,44.33317,0
76561198030459761,I_stay_sideways,"=IFERROR(E77 + G77 + I77 + K77 + M77 + O77 + Q77 + S77 + U77 + W77 + Y77, 0)",,,,,,,,,,,,,,,,,,,42.2423,0
76561199050059333,tymbot,"=IFERROR(E78 + G78 + I78 + K78 + M78 + O78 + Q78 + S78 + U78 + W78 + Y78, 0)",,,,,,,,,,,,,,,,,,,45.6507,0
76561198017223402,JunkJen,"=IFERROR(E79 + G79 + I79 + K79 + M79 + O79 + Q79 + S79 + U79 + W79 + Y79, 0)",,,,,,,,,,,,,,,,,,,47.6064,0
76561198395626155,Hex,"=IFERROR(E80 + G80 + I80 + K80 + M80 + O80 + Q80 + S80 + U80 + W80 + Y80, 0)",,,,,,,,,,,,,,,,,,,48.00402,0
76561198888882991,finnandeve,"=IFERROR(E81 + G81 + I81 + K81 + M81 + O81 + Q81 + S81 + U81 + W81 + Y81, 0)",,,,,,,,,,,,,,,,,,,48.59352,0
76561198302369289,monkey,"=IFERROR(E82 + G82 + I82 + K82 + M82 + O82 + Q82 + S82 + U82 + W82 + Y82, 0)",,,,,,,,,,,,,,,,,,,44.79341,0
76561198020002661,RadiationMutt,"=IFERROR(E83 + G83 + I83 + K83 + M83 + O83 + Q83 + S83 + U83 + W83 + Y83, 0)",,,,,,,,,,,,,,,,,,,,
76561198169487380,skatie,"=IFERROR(E84 + G84 + I84 + K84 + M84 + O84 + Q84 + S84 + U84 + W84 + Y84, 0)",,,,,,,,,,,,,,,,,,,,
76561198273751524,thesonicfactor,"=IFERROR(E85 + G85 + I85 + K85 + M85 + O85 + Q85 + S85 + U85 + W85 + Y85, 0)",,,,,,,,,,,,,,,,,,,,
76561199106797515,olaboobear,"=IFERROR(E86 + G86 + I86 + K86 + M86 + O86 + Q86 + S86 + U86 + W86 + Y86, 0)",,,,,,,,,,,,,,,,,,,,
