SteamId,Username,Points,ThySirSlime,ThySirSlimePoints,justMaki,justMakiPoints,Diabler,DiablerPoints,PDGamer2502,PDGamer2502Points,[CTR]LexLimbo,[CTR]LexLimboPoints,Spuzzle,SpuzzlePoints,Akane,AkanePoints,Codewalt,CodewaltPoints,ocaj75,ocaj75Points,RuthlessTex,RuthlessTexPoints,Khord,KhordPoints,St Nicholas,St NicholasPoints,Llama_Lordie,Llama_LordiePoints,fabiendivie,fabiendiviePoints,deathcount610,deathcount610Points
76561199137807850,CDAW,"=IFERROR(E31 + G31 + I31 + K31 + M31 + O31 + Q31 + S31 + U31 + W31 + Y31 + AA31 + AC31 + AE31 + AG31, 0)",48.86634,0,68.54341,0,,,,,78.77287,0,53.26101,0,,,80.95941,0,97.00796,0,94.05589,0,52.10616,0,66.15863,0,66.17857,0,69.68919,0,54.80809,0
76561198340714478,Aeuralix,"=IFERROR(E32 + G32 + I32 + K32 + M32 + O32 + Q32 + S32 + U32 + W32 + Y32 + AA32 + AC32 + AE32 + AG32, 0)",48.87545,0,72.16612,0,,,,,,,,,,,,,,,,,,,,,,,,,,
76561198396495977,[TSB] alpha,"=IFERROR(E33 + G33 + I33 + K33 + M33 + O33 + Q33 + S33 + U33 + W33 + Y33 + AA33 + AC33 + AE33 + AG33, 0)",48.95182,0,69.91054,0,,,41.3193,0,79.10715,0,,,,,,,,,,,,,,,,,,,,
76561199247569114,MaxVerstappen9768,"=IFERROR(E34 + G34 + I34 + K34 + M34 + O34 + Q34 + S34 + U34 + W34 + Y34 + AA34 + AC34 + AE34 + AG34, 0)",48.99824,0,,,,,42.54453,0,91.20197,0,55.38473,0,,,,,,,,,,,,,,,,,,
76561198041135033,profwaldone,"=IFERROR(E35 + G35 + I35 + K35 + M35 + O35 + Q35 + S35 + U35 + W35 + Y35 + AA35 + AC35 + AE35 + AG35, 0)",49.04387,0,77.83408,0,,,,,91.42405,0,56.33607,0,86.40044,0,84.34348,0,102.0722,0,95.5004,0,61.73455,0,66.95798,0,,,81.17774,0,61.82148,0
76561198031919228,Akane,"=IFERROR(E36 + G36 + I36 + K36 + M36 + O36 + Q36 + S36 + U36 + W36 + Y36 + AA36 + AC36 + AE36 + AG36, 0)",49.10527,0,70.4365,0,64.66682,0,40.08067,0,79.14847,0,51.96582,0,77.98376,0,78.25649,0,94.05203,0,84.94186,0,51.4242,0,,,70.42424,0,71.77398,0,55.09816,0
76561198011349021,mumboking,"=IFERROR(E37 + G37 + I37 + K37 + M37 + O37 + Q37 + S37 + U37 + W37 + Y37 + AA37 + AC37 + AE37 + AG37, 0)",49.11905,0,,,77.51703,0,41.31809,0,96.21442,0,58.46349,0,87.87495,0,83.61382,0,95.3056,0,,,52.12216,0,,,,,,,63.12195,0
76561198838593572,invisiblecat8,"=IFERROR(E38 + G38 + I38 + K38 + M38 + O38 + Q38 + S38 + U38 + W38 + Y38 + AA38 + AC38 + AE38 + AG38, 0)",49.23,0,71.11729,0,73.99078,0,44.41367,0,82.99023,0,54.55667,0,88.63615,0,78.35545,0,95.54144,0,86.24615,0,51.4404,0,67.61142,0,72.19654,0,69.09996,0,57.21988,0
76561198040976717,ttv/Lilly the Bun,"=IFERROR(E39 + G39 + I39 + K39 + M39 + O39 + Q39 + S39 + U39 + W39 + Y39 + AA39 + AC39 + AE39 + AG39, 0)",49.23785,0,72.56486,0,,,44.24531,0,,,53.72282,0,93.20559,0,78.52057,0,98.27705,0,90.86887,0,57.03223,0,,,,,,,,
76561199196339657,hanksterphill,"=IFERROR(E40 + G40 + I40 + K40 + M40 + O40 + Q40 + S40 + U40 + W40 + Y40 + AA40 + AC40 + AE40 + AG40, 0)",49.48059,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76561198872947783,Mauznemo,"=IFERROR(E41 + G41 + I41 + K41 + M41 + O41 + Q41 + S41 + U41 + W41 + Y41 + AA41 + AC41 + AE41 + AG41, 0)",49.18127,0,,,,,43.47335,0,83.18155,0,54.11541,0,86.62427,0,,,,,,,,,,,,,,,,
76561198336487465,RedRemyBoyz,"=IFERROR(E42 + G42 + I42 + K42 + M42 + O42 + Q42 + S42 + U42 + W42 + Y42 + AA42 + AC42 + AE42 + AG42, 0)",49.74944,0,74.39854,0,,,,,,,,,,,,,,,,,,,,,,,,,,
76561198323934569,TrueZeroOne,"=IFERROR(E43 + G43 + I43 + K43 + M43 + O43 + Q43 + S43 + U43 + W43 + Y43 + AA43 + AC43 + AE43 + AG43, 0)",49.79551,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
